source,target
EstimatedSalary,Geography_Spain
CreditScore,HasCrCard
HasCrCard,Geography_France
Balance,NumOfProducts
HasCrCard,Geography_Spain
Gender_Female,Exited
Geography_France,Exited
Geography_France,Geography_Germany
Age,NumOfProducts
CreditScore,Age
Gender_Female,Gender_Male
Geography_France,Gender_Male
Geography_Germany,Exited
Geography_Germany,Gender_Male
Balance,Geography_France
CreditScore,EstimatedSalary
NumOfProducts,Geography_Spain
CreditScore,Geography_Germany
NumOfProducts,IsActiveMember
Age,Geography_France
Tenure,HasCrCard
Balance,Geography_Spain
CreditScore,Tenure
Gender_Male,Exited
CreditScore,Exited
Age,Geography_Spain
Age,IsActiveMember
IsActiveMember,Geography_Spain
CreditScore,Gender_Male
Geography_France,Gender_Female
Tenure,EstimatedSalary
Geography_Germany,Gender_Female
Tenure,Exited
Age,Balance
Tenure,Gender_Male
CreditScore,NumOfProducts
EstimatedSalary,Exited
Geography_France,Geography_Spain
Geography_Germany,Geography_Spain
NumOfProducts,HasCrCard
Geography_Spain,Exited
EstimatedSalary,Gender_Male
Geography_Spain,Gender_Male
Age,HasCrCard
CreditScore,Geography_France
HasCrCard,Exited
HasCrCard,Geography_Germany
CreditScore,IsActiveMember
CreditScore,Geography_Spain
Tenure,NumOfProducts
NumOfProducts,EstimatedSalary
NumOfProducts,Exited
NumOfProducts,Geography_Germany
Age,EstimatedSalary
Balance,EstimatedSalary
IsActiveMember,Exited
Balance,Exited
Tenure,Geography_France
Balance,Geography_Germany
CreditScore,Balance
Geography_Spain,Gender_Female
Age,Exited
Age,Geography_Germany
Tenure,Geography_Spain
Age,Tenure
Age,Gender_Male
EstimatedSalary,Geography_France
